Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124795347	27	13	66	20	54	14	12	3	2	0	31	15	48	16	49	18	13	3	2	0	19.42	32	7	0.229	-2.128	0.000873086604270441	0.0323903338243778	0.3837	0.2454
LOC124795378	40	26	55	44	76	115	96	71	82	77	46	30	40	35	69	148	105	63	63	180	78	44	112	2.521	1.334	0.00143655602013908	0.0473934839838124	0.1885	0.2334
LOC124795391	24	23	20	32	18	137	117	176	319	431	27	27	15	26	16	177	129	157	246	1007	182.56	22	343	15.426	3.947	1.49757327247965e-12	5.51705993581505e-10	0.283	0.1583
LOC124795402	113	118	206	156	279	210	161	396	444	1150	129	138	150	124	252	271	177	354	342	2686	462.25	159	766	4.818	2.268	0.000133715579034366	0.00790280523790277	0.3831	0.1312
LOC124795417	153	143	241	256	336	252	724	1047	2214	179	175	167	175	204	303	325	796	936	1707	418	520.52	205	836	4.086	2.031	6.15999255791968e-07	9.20131780759762e-05	0.1824	0.1345
LOC124795430	112	70	163	187	142	42	38	36	78	9	128	82	119	149	128	54	42	32	60	21	81.45	121	42	0.351	-1.509	8.01404827885715e-05	0.00540068668158105	0.1537	0.2288
LOC124795445	21	22	14	46	44	22	348	172	180	96	24	26	10	37	40	28	382	154	139	224	106.37	27	185	6.784	2.762	6.16085339994774e-07	9.20131780759762e-05	0.3099	0.2073
LOC124795456	22	49	32	22	23	53	54	111	121	42	25	57	23	18	21	68	59	99	93	98	56.21	29	83	2.925	1.548	0.000283389525319424	0.0144332766535958	0.188	0.249
LOC124795457	122	82	142	90	75	134	253	281	145	96	139	96	103	72	68	173	278	251	112	224	151.57	96	208	2.173	1.12	0.00124708980292343	0.0425396188330549	0.1336	0.1732
LOC124795460	37	26	90	191	183	76	85	202	456	1075	42	30	66	152	165	98	93	181	351	2511	368.96	91	647	7.072	2.822	0.000208428899672819	0.011128290817314	0.6029	0.1285
LOC124795468	82	88	198	159	171	81	84	269	357	688	94	103	144	127	154	104	92	240	275	1607	294.06	124	464	3.715	1.894	0.00153761496709795	0.049372575956839	0.3972	0.1311
LOC124795471	5	9	7	9	5	14	18	19	48	19	6	10	5	7	5	18	20	17	37	44	16.92	7	27	4.052	2.019	2.47406383501673e-05	0.00217010742100039	0.1831	0.2409
LOC124795499	1951	1104	3628	4332	4001	1148	717	1630	1791	333	2228	1286	2641	3452	3610	1481	788	1457	1380	778	1910.21	2643	1177	0.445	-1.167	0.00134905301547168	0.0453183402036261	0.1545	0.1776
LOC124795505	1263	1507	2196	2424	3137	2224	2267	3175	5018	9645	1442	1756	1599	1932	2830	2868	2491	2838	3868	22527	4415.18	1912	6918	3.618	1.855	0.000850361372339867	0.0320932729948016	0.348	0.2004
LOC124795556	48	56	100	98	65	6	11	18	8	9	55	65	73	78	59	8	12	16	6	21	39.27	66	13	0.184	-2.439	1.75584391086639e-08	3.8050170397834e-06	0.1612	0.2545
