Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126305061	150	209	357	341	210	0	0	1	1	0	195	272	257	219	191	0	0	1	1	0	113.56	227	0	0.003	-8.634	-9.795	1.18798102997472e-22	1.90344260527699e-19	0	0.0767	0.0412	0.0412	TRUE	0.1646
LOC126306808	8	2	37	35	35	20	27	201	223	109	10	3	27	23	32	26	33	165	267	89	67.4	19	116	3.983	1.994	4.124	3.72172045790089e-05	0.000744227969256998	0.6791	0.0988	0.4508	0.4508	TRUE	0.1426
LOC126317678	1	1	2	1	0	1	2	32	27	18	1	1	1	1	0	1	2	26	32	15	8.17	1	15	5.892	2.559	4.004	6.22794969804505e-05	0.00109928369299288	0	0.4934	0.7105	0.7105	TRUE	0.0431
LOC126319999	131	134	262	318	213	67	53	82	51	109	170	175	188	205	193	89	64	67	61	89	130.14	186	74	0.416	-1.267	-7.969	1.60270443615207e-15	6.84782182086574e-13	0.0049	0.0726	0.0238	0.0238	TRUE	0.1421
LOC126320178	25	25	113	79	52	76	113	220	289	165	32	33	81	51	47	101	137	180	346	135	114.33	49	180	3.203	1.679	5.133	2.85236380063429e-07	1.74935881323112e-05	0.1798	0.0765	0.1459	0.1459	TRUE	0.7752
LOC126320530	2	3	24	42	16	2	1	4	2	0	3	4	17	27	15	3	1	3	2	0	7.48	13	2	0.396	-1.338	-3.341	0.000835535596899846	0.00770180840539359	0.5515	0.5346	0.5452	0.5452	TRUE	0.0916
LOC126322561	671	536	1440	1390	1116	1079	1459	2301	3368	2230	870	698	1035	894	1013	1429	1771	1887	4030	1824	1545.29	902	2188	2.029	1.021	4.831	1.35761975497419e-06	5.74322442879839e-05	0.0987	0.0468	0.0832	0.0832	TRUE	2.584
LOC126322885	209	198	775	670	601	455	655	1615	2009	1179	271	258	557	431	546	603	795	1325	2404	964	815.35	413	1218	2.308	1.207	4.363	1.28545452593542e-05	0.000336952067759514	0.2063	0.0489	0.152	0.152	TRUE	0.4912
LOC126322901	11	10	60	33	19	89	39	100	45	82	14	13	43	21	17	118	47	82	54	67	47.71	22	74	2.656	1.409	4.511	6.45761913322391e-06	0.000191605930670519	0.1593	0.1213	0.1468	0.1468	TRUE	0.6468
LOC126323118	0	0	0	0	0	0	1	6	5	33	0	0	0	0	0	0	1	5	6	27	3.91	0	8	3.132	1.647	3.536	0.00040696496477425	0.00454396944118147	3.3678	0.9825	1.8668	1.8668	TRUE	0.9443
LOC126323134	0	1	0	0	0	0	2	18	10	60	0	1	0	0	0	0	2	15	12	49	7.95	0	16	10.507	3.393	4.249	2.14531789747338e-05	0.000496366151801692	2.4289	0.5057	1.3169	1.3169	TRUE	0.4367
LOC126323151	9	8	26	14	18	8	26	107	189	214	12	10	19	9	16	11	32	88	226	175	59.72	13	106	5.972	2.578	4.885	1.03296005227984e-06	4.64578314039404e-05	0.5877	0.1058	0.4123	0.4123	TRUE	0.0631
LOC126324044	2	2	1	3	3	8	4	35	5	8	3	3	1	2	3	11	5	29	6	7	6.73	2	12	2.307	1.206	3.295	0.00098417127873387	0.0086821111154926	0.3434	0.5899	0.4152	0.4152	TRUE	1.9656
LOC126324532	24	23	37	42	35	34	64	94	149	93	31	30	27	27	32	45	78	77	178	76	60.07	29	91	2.596	1.376	4.763	1.90756882448498e-06	7.4094597552268e-05	0.1253	0.1055	0.1194	0.1194	TRUE	0.8331
LOC126324835	49	107	83	126	76	29	22	21	12	32	64	139	60	81	69	38	27	17	14	26	53.56	83	24	0.336	-1.576	-5.209	1.89621038086704e-07	1.25286725061617e-05	0.1062	0.1129	0.1084	0.1084	TRUE	1.2122
